timestamp,filename,angle_deg,raw_angle,magnitude
20251020_214549,scan_angle_0000.00_deg_20251020_214549.jpg,0.000000,4078,2039
20251020_214551,scan_angle_0359.30_deg_20251020_214551.jpg,359.296875,4070,2036
20251020_214552,scan_angle_0358.42_deg_20251020_214552.jpg,358.417969,4060,2038
20251020_214552,scan_angle_0357.71_deg_20251020_214552.jpg,357.714844,4052,2039
20251020_214553,scan_angle_0356.92_deg_20251020_214553.jpg,356.923828,4043,2039
20251020_214554,scan_angle_0355.96_deg_20251020_214554.jpg,355.957031,4032,2039
20251020_214554,scan_angle_0354.90_deg_20251020_214554.jpg,354.902344,4020,2040
20251020_214555,scan_angle_0353.76_deg_20251020_214555.jpg,353.759766,4007,2041
20251020_214556,scan_angle_0352.88_deg_20251020_214556.jpg,352.880859,3997,2040
20251020_214556,scan_angle_0352.09_deg_20251020_214556.jpg,352.089844,3988,2040
20251020_214557,scan_angle_0350.68_deg_20251020_214557.jpg,350.683594,3972,2040
20251020_214558,scan_angle_0349.98_deg_20251020_214558.jpg,349.980469,3964,2043
20251020_214558,scan_angle_0349.01_deg_20251020_214558.jpg,349.013672,3953,2043
20251020_214559,scan_angle_0348.13_deg_20251020_214559.jpg,348.134766,3943,2044
20251020_214600,scan_angle_0347.96_deg_20251020_214600.jpg,347.958984,3941,2046
20251020_214600,scan_angle_0346.82_deg_20251020_214600.jpg,346.816406,3928,2047
20251020_214601,scan_angle_0346.03_deg_20251020_214601.jpg,346.025391,3919,2047
20251020_214601,scan_angle_0344.97_deg_20251020_214601.jpg,344.970703,3907,2044
20251020_214602,scan_angle_0344.00_deg_20251020_214602.jpg,344.003906,3896,2040
20251020_214603,scan_angle_0343.48_deg_20251020_214603.jpg,343.476562,3890,2040
20251020_214603,scan_angle_0342.25_deg_20251020_214603.jpg,342.246094,3876,2041
20251020_214604,scan_angle_0341.89_deg_20251020_214604.jpg,341.894531,3872,2040
20251020_214605,scan_angle_0340.05_deg_20251020_214605.jpg,340.048828,3851,2042
20251020_214606,scan_angle_0339.17_deg_20251020_214606.jpg,339.169922,3841,2040
20251020_214606,scan_angle_0336.97_deg_20251020_214606.jpg,336.972656,3816,2042
20251020_214607,scan_angle_0335.65_deg_20251020_214607.jpg,335.654297,3801,2042
20251020_214608,scan_angle_0333.63_deg_20251020_214608.jpg,333.632812,3778,2043
20251020_214608,scan_angle_0332.40_deg_20251020_214608.jpg,332.402344,3764,2046
20251020_214609,scan_angle_0331.79_deg_20251020_214609.jpg,331.787109,3757,2046
20251020_214609,scan_angle_0329.77_deg_20251020_214609.jpg,329.765625,3734,2046
20251020_214610,scan_angle_0328.01_deg_20251020_214610.jpg,328.007812,3714,2047
20251020_214611,scan_angle_0325.90_deg_20251020_214611.jpg,325.898438,3690,2045
